Name,Description,Quantity,Link
3.5in Touchscreen with builtin ESP32,3.5in LCD Display ESP32-32E 320x480 Resistance Touch,1,https://a.co/d/0bF8oXgU
SSR,3-32VDC in 240VAC 25A out solid-state relay from high-quality vendor,1,https://www.grainger.com/product/CRYDOM-Solid-State-Relay-Surface-1DTF1
SSR Heatsink,10-40A SSR Aluminum Heatsink,1,https://a.co/d/07OKvUIP
K-Type Thermocouple w/ Amp,DC 3-5V MAX6675 Thermocouple Amp w/ K-Type Thermocouple,1,https://a.co/d/0fU5QwY8
C14 Power Entry Connector,C14 250VAC 10A Power Connector,1,https://a.co/d/0azN8Sv4
C13 Cable,18AWG 10' C13 Power Cable,1,https://a.co/d/0fURLlfl
International Plug Outlet,125VAC 15A US Female Power Socket Plug Panel w/ 18 AWG Connection Line,1,https://a.co/d/0azN8Sv4
14AWG Wire,2' 14AWG wire ideally in several colors,1,https://a.co/d/0fURLlfl
On/Off Switch,SPST Switch,1,https://a.co/d/06LLtH1J
AC/DC 5V Module,100-240VAC to 5VDC 0.6A,1,https://a.co/d/06eOBrXa
